DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
23/01/19,CAUSEWAY BAY,91,54,107,223,28,77,6
24/01/19,CAUSEWAY BAY,79,51,101,194,49,77,5
25/01/19,CAUSEWAY BAY,95,46,141,384,33,75,9
26/01/19,CAUSEWAY BAY,85,52,105,207,45,79,5
27/01/19,CAUSEWAY BAY,69,45,83,155,55,75,4
28/01/19,CAUSEWAY BAY,54,24,83,192,37,45,4
29/01/19,CAUSEWAY BAY,57,28,93,215,33,48,5
30/01/19,CAUSEWAY BAY,59,25,90,204,32,41,4
31/01/19,CAUSEWAY BAY,99,39,129,422,9,60,9
01/02/19,CAUSEWAY BAY,104,31,85,239,14,48,5
02/02/19,CAUSEWAY BAY,81,40,87,235,29,64,4
03/02/19,CAUSEWAY BAY,119,50,101,408,13,94,8
04/02/19,CAUSEWAY BAY,96,42,89,301,12,70,7
05/02/19,CAUSEWAY BAY,101,49,65,149,32,72,3
06/02/19,CAUSEWAY BAY,95,49,67,177,23,72,3
07/02/19,CAUSEWAY BAY,86,26,74,280,10,43,6
08/02/19,CAUSEWAY BAY,70,31,60,154,18,55,3
09/02/19,CAUSEWAY BAY,51,27,46,109,31,51,2
10/02/19,CAUSEWAY BAY,49,17,48,110,32,31,2
11/02/19,CAUSEWAY BAY,79,25,64,219,17,40,4
12/02/19,CAUSEWAY BAY,67,20,64,179,23,29,3
13/02/19,CAUSEWAY BAY,76,33,74,184,22,47,4
14/02/19,CAUSEWAY BAY,57,20,62,169,29,34,3
15/02/19,CAUSEWAY BAY,57,21,57,136,29,34,2
16/02/19,CAUSEWAY BAY,68,29,67,190,19,49,4
17/02/19,CAUSEWAY BAY,62,17,46,93,39,30,1
18/02/19,CAUSEWAY BAY,77,18,66,238,20,29,5
19/02/19,CAUSEWAY BAY,80,20,62,211,14,29,4
20/02/19,CAUSEWAY BAY,83,30,66,260,9,45,5
21/02/19,CAUSEWAY BAY,70,31,57,144,16,42,2
22/02/19,CAUSEWAY BAY,124,28,84,334,8,41,8
23/02/19,CAUSEWAY BAY,93,24,64,175,28,36,4
24/02/19,CAUSEWAY BAY,109,16,66,225,13,22,5
25/02/19,CAUSEWAY BAY,97,26,59,163,19,36,3
26/02/19,CAUSEWAY BAY,70,29,72,142,41,48,2
27/02/19,CAUSEWAY BAY,75,36,78,172,33,57,3
28/02/19,CAUSEWAY BAY,70,37,75,205,28,56,4
01/03/19,CAUSEWAY BAY,56,27,67,144,34,45,2
02/03/19,CAUSEWAY BAY,57,32,64,131,37,47,2
03/03/19,CAUSEWAY BAY,88,24,91,306,12,36,6
04/03/19,CAUSEWAY BAY,61,21,73,163,37,32,4
05/03/19,CAUSEWAY BAY,68,23,73,185,35,41,3
06/03/19,CAUSEWAY BAY,69,23,68,183,18,38,3
07/03/19,CAUSEWAY BAY,77,13,64,219,18,18,4
08/03/19,CAUSEWAY BAY,62,15,74,160,41,21,2
09/03/19,CAUSEWAY BAY,80,23,70,257,24,30,5
10/03/19,CAUSEWAY BAY,123,21,90,407,3,27,9
11/03/19,CAUSEWAY BAY,100,22,85,308,9,31,7
12/03/19,CAUSEWAY BAY,77,32,86,184,38,46,4
13/03/19,CAUSEWAY BAY,63,34,94,186,61,55,4
14/03/19,CAUSEWAY BAY,73,37,88,218,46,57,5
15/03/19,CAUSEWAY BAY,88,35,94,307,17,44,6
16/03/19,CAUSEWAY BAY,61,27,89,196,38,47,5
17/03/19,CAUSEWAY BAY,56,32,75,114,83,59,3
18/03/19,CAUSEWAY BAY,72,32,98,238,38,49,5
19/03/19,CAUSEWAY BAY,75,34,96,290,8,48,5
20/03/19,CAUSEWAY BAY,60,35,75,187,26,52,3
21/03/19,CAUSEWAY BAY,54,17,56,188,18,26,4
22/03/19,CAUSEWAY BAY,57,22,65,245,11,32,5
23/03/19,CAUSEWAY BAY,54,13,57,157,29,21,2
24/03/19,CAUSEWAY BAY,48,15,62,143,35,20,2
25/03/19,CAUSEWAY BAY,78,27,85,264,25,36,4
26/03/19,CAUSEWAY BAY,65,26,91,197,30,36,3
27/03/19,CAUSEWAY BAY,59,27,70,128,43,42,1
28/03/19,CAUSEWAY BAY,72,26,91,289,16,43,6
29/03/19,CAUSEWAY BAY,74,21,71,255,8,30,5
30/03/19,CAUSEWAY BAY,68,22,61,166,25,33,3
31/03/19,CAUSEWAY BAY,52,29,56,92,71,49,1
01/04/19,CAUSEWAY BAY,51,31,72,156,48,54,3
02/04/19,CAUSEWAY BAY,47,23,78,153,55,38,3
03/04/19,CAUSEWAY BAY,62,28,86,175,44,45,3
04/04/19,CAUSEWAY BAY,52,24,70,139,45,43,2
05/04/19,CAUSEWAY BAY,84,51,137,335,24,71,7
06/04/19,CAUSEWAY BAY,91,59,128,343,9,80,9
07/04/19,CAUSEWAY BAY,70,25,77,238,19,33,6
08/04/19,CAUSEWAY BAY,62,22,62,224,9,33,5
09/04/19,CAUSEWAY BAY,56,20,52,173,12,31,4
10/04/19,CAUSEWAY BAY,56,22,61,238,11,31,7
11/04/19,CAUSEWAY BAY,61,25,58,224,13,35,5
12/04/19,CAUSEWAY BAY,59,15,58,124,34,25,2
13/04/19,CAUSEWAY BAY,52,28,65,137,51,40,2
14/04/19,CAUSEWAY BAY,66,30,69,162,32,39,3
15/04/19,CAUSEWAY BAY,60,37,78,122,67,58,2
16/04/19,CAUSEWAY BAY,80,25,81,226,36,36,4
17/04/19,CAUSEWAY BAY,81,32,94,225,27,43,5
18/04/19,CAUSEWAY BAY,75,31,89,183,40,44,3
19/04/19,CAUSEWAY BAY,71,19,86,245,23,27,4
20/04/19,CAUSEWAY BAY,88,21,82,245,17,31,5
21/04/19,CAUSEWAY BAY,77,22,72,257,7,34,5
22/04/19,CAUSEWAY BAY,59,18,51,206,10,27,5
23/04/19,CAUSEWAY BAY,59,18,64,260,9,25,7
24/04/19,CAUSEWAY BAY,57,20,62,216,13,27,7
25/04/19,CAUSEWAY BAY,60,24,65,234,15,31,6
26/04/19,CAUSEWAY BAY,61,27,75,233,14,40,5
27/04/19,CAUSEWAY BAY,58,25,78,146,49,38,3
28/04/19,CAUSEWAY BAY,54,19,55,98,55,29,2
29/04/19,CAUSEWAY BAY,60,26,71,222,20,40,5
30/04/19,CAUSEWAY BAY,72,26,90,321,9,37,8
01/05/19,CAUSEWAY BAY,102,32,103,300,8,49,8
02/05/19,CAUSEWAY BAY,80,26,78,176,30,42,4
03/05/19,CAUSEWAY BAY,69,33,93,185,47,52,4
04/05/19,CAUSEWAY BAY,40,21,79,146,64,44,3
05/05/19,CAUSEWAY BAY,57,16,66,114,59,20,2
06/05/19,CAUSEWAY BAY,60,13,70,158,42,19,3
07/05/19,CAUSEWAY BAY,60,15,72,158,48,22,2
08/05/19,CAUSEWAY BAY,N.A.,19,N.A.,N.A.,N.A.,28,N.A.
09/05/19,CAUSEWAY BAY,84,20,78,214,19,27,4
10/05/19,CAUSEWAY BAY,74,25,74,164,22,37,3
11/05/19,CAUSEWAY BAY,68,32,90,162,51,50,3
12/05/19,CAUSEWAY BAY,59,26,68,131,53,41,3
13/05/19,CAUSEWAY BAY,64,36,54,107,40,49,2
14/05/19,CAUSEWAY BAY,73,27,67,262,9,38,5
15/05/19,CAUSEWAY BAY,69,20,53,199,9,29,4
16/05/19,CAUSEWAY BAY,69,22,57,232,10,35,5
17/05/19,CAUSEWAY BAY,65,20,52,206,11,35,4
18/05/19,CAUSEWAY BAY,68,21,61,212,15,36,8
19/05/19,CAUSEWAY BAY,67,19,60,208,19,34,9
20/05/19,CAUSEWAY BAY,79,23,74,224,16,39,10
21/05/19,CAUSEWAY BAY,68,32,73,137,59,51,N.A.
22/05/19,CAUSEWAY BAY,67,34,78,125,65,57,1
23/05/19,CAUSEWAY BAY,69,30,73,120,53,46,1
24/05/19,CAUSEWAY BAY,71,35,79,135,57,52,2
25/05/19,CAUSEWAY BAY,66,22,69,195,28,36,4
26/05/19,CAUSEWAY BAY,85,18,67,247,11,26,5
27/05/19,CAUSEWAY BAY,90,21,63,280,10,28,6
28/05/19,CAUSEWAY BAY,99,21,77,353,5,30,8
29/05/19,CAUSEWAY BAY,60,20,61,110,45,33,2
30/05/19,CAUSEWAY BAY,59,23,64,103,63,42,2
31/05/19,CAUSEWAY BAY,83,23,76,282,24,33,7
01/06/19,CAUSEWAY BAY,91,14,76,290,10,20,6
02/06/19,CAUSEWAY BAY,78,13,66,253,10,20,6
03/06/19,CAUSEWAY BAY,79,14,69,234,15,19,6
04/06/19,CAUSEWAY BAY,87,20,65,295,9,27,6
05/06/19,CAUSEWAY BAY,81,18,58,286,6,26,6
06/06/19,CAUSEWAY BAY,69,18,68,263,11,26,6
07/06/19,CAUSEWAY BAY,62,13,56,215,17,20,6
08/06/19,CAUSEWAY BAY,60,13,63,298,15,19,7
09/06/19,CAUSEWAY BAY,64,10,39,161,16,20,4
10/06/19,CAUSEWAY BAY,72,14,71,305,11,25,7
11/06/19,CAUSEWAY BAY,105,22,92,425,7,33,9
12/06/19,CAUSEWAY BAY,85,23,65,193,20,36,4
13/06/19,CAUSEWAY BAY,87,18,84,320,11,29,7
14/06/19,CAUSEWAY BAY,103,26,142,301,24,37,6
15/06/19,CAUSEWAY BAY,80,21,101,229,28,35,5
16/06/19,CAUSEWAY BAY,67,22,46,71,89,37,2
17/06/19,CAUSEWAY BAY,75,21,69,184,38,34,4
18/06/19,CAUSEWAY BAY,79,17,70,255,10,25,5
19/06/19,CAUSEWAY BAY,76,19,66,291,10,29,6
20/06/19,CAUSEWAY BAY,67,12,60,294,10,19,7
21/06/19,CAUSEWAY BAY,64,12,48,204,12,19,6
22/06/19,CAUSEWAY BAY,63,11,47,196,12,19,6
23/06/19,CAUSEWAY BAY,66,12,49,208,11,21,6
24/06/19,CAUSEWAY BAY,77,16,62,282,12,27,6
25/06/19,CAUSEWAY BAY,96,23,82,301,5,34,6
26/06/19,CAUSEWAY BAY,89,22,75,309,7,32,6
27/06/19,CAUSEWAY BAY,80,19,65,236,14,29,5
28/06/19,CAUSEWAY BAY,79,17,64,245,17,27,6
29/06/19,CAUSEWAY BAY,72,17,61,193,20,28,5
30/06/19,CAUSEWAY BAY,90,20,74,262,12,29,6
01/07/19,CAUSEWAY BAY,75,13,41,121,21,21,4
02/07/19,CAUSEWAY BAY,64,14,50,154,18,21,4
03/07/19,CAUSEWAY BAY,81,18,63,224,12,26,5
04/07/19,CAUSEWAY BAY,71,19,58,214,15,35,5
05/07/19,CAUSEWAY BAY,69,14,62,247,17,25,6
06/07/19,CAUSEWAY BAY,68,13,51,174,20,23,5
07/07/19,CAUSEWAY BAY,66,15,46,150,22,24,4
08/07/19,CAUSEWAY BAY,63,19,45,153,26,32,5
09/07/19,CAUSEWAY BAY,71,18,64,238,20,35,6
10/07/19,CAUSEWAY BAY,87,19,81,310,13,31,8
11/07/19,CAUSEWAY BAY,79,18,64,226,15,29,6
12/07/19,CAUSEWAY BAY,70,22,54,187,25,38,5
13/07/19,CAUSEWAY BAY,70,22,59,212,23,38,6
14/07/19,CAUSEWAY BAY,73,24,56,172,26,41,5
15/07/19,CAUSEWAY BAY,75,24,72,250,19,40,7
16/07/19,CAUSEWAY BAY,90,27,89,343,12,41,9
17/07/19,CAUSEWAY BAY,105,41,129,333,26,61,10
18/07/19,CAUSEWAY BAY,119,58,162,396,16,83,11
19/07/19,CAUSEWAY BAY,115,33,105,373,8,47,10
20/07/19,CAUSEWAY BAY,98,24,74,280,10,34,7
21/07/19,CAUSEWAY BAY,82,16,55,200,11,26,7
22/07/19,CAUSEWAY BAY,83,19,70,285,9,30,8
23/07/19,CAUSEWAY BAY,79,19,66,255,8,30,7
24/07/19,CAUSEWAY BAY,74,18,66,249,11,28,7
25/07/19,CAUSEWAY BAY,76,16,69,260,13,24,6
26/07/19,CAUSEWAY BAY,77,14,76,314,13,21,12
27/07/19,CAUSEWAY BAY,77,12,61,232,14,19,7
28/07/19,CAUSEWAY BAY,70,12,48,172,16,20,3
29/07/19,CAUSEWAY BAY,67,13,43,152,12,20,2
