DATE,HOUR,STATION,NO2,NOX,O3,SO2
14/03/20,1,CAUSEWAY BAY,79,225,3,6
14/03/20,2,CAUSEWAY BAY,74,240,3,6
14/03/20,3,CAUSEWAY BAY,70,197,2,7
14/03/20,4,CAUSEWAY BAY,44,100,9,4
14/03/20,5,CAUSEWAY BAY,25,48,20,3
14/03/20,6,CAUSEWAY BAY,35,61,23,3
14/03/20,7,CAUSEWAY BAY,48,95,23,3
14/03/20,8,CAUSEWAY BAY,58,134,17,4
14/03/20,9,CAUSEWAY BAY,66,166,14,4
14/03/20,10,CAUSEWAY BAY,81,222,11,5
14/03/20,11,CAUSEWAY BAY,73,184,16,5
14/03/20,12,CAUSEWAY BAY,73,174,26,5
14/03/20,13,CAUSEWAY BAY,65,132,42,4
14/03/20,14,CAUSEWAY BAY,54,90,53,3
14/03/20,15,CAUSEWAY BAY,94,208,21,5
14/03/20,16,CAUSEWAY BAY,122,298,17,7
14/03/20,17,CAUSEWAY BAY,100,218,28,6
14/03/20,18,CAUSEWAY BAY,70,109,50,5
14/03/20,19,CAUSEWAY BAY,57,79,66,6
14/03/20,20,CAUSEWAY BAY,59,93,65,5
14/03/20,21,CAUSEWAY BAY,57,92,57,4
14/03/20,22,CAUSEWAY BAY,69,128,43,4
14/03/20,23,CAUSEWAY BAY,61,116,45,4
14/03/20,24,CAUSEWAY BAY,42,82,59,3
15/03/20,1,CAUSEWAY BAY,34,46,64,3
15/03/20,2,CAUSEWAY BAY,31,42,65,3
15/03/20,3,CAUSEWAY BAY,38,68,53,3
15/03/20,4,CAUSEWAY BAY,37,57,47,3
15/03/20,5,CAUSEWAY BAY,40,74,50,4
15/03/20,6,CAUSEWAY BAY,35,53,56,3
15/03/20,7,CAUSEWAY BAY,49,97,47,4
15/03/20,8,CAUSEWAY BAY,76,170,26,6
15/03/20,9,CAUSEWAY BAY,70,155,31,6
15/03/20,10,CAUSEWAY BAY,67,165,38,6
15/03/20,11,CAUSEWAY BAY,59,106,50,4
15/03/20,12,CAUSEWAY BAY,75,160,51,5
15/03/20,13,CAUSEWAY BAY,65,104,65,4
15/03/20,14,CAUSEWAY BAY,70,105,69,4
15/03/20,15,CAUSEWAY BAY,67,100,74,5
15/03/20,16,CAUSEWAY BAY,57,80,89,5
15/03/20,17,CAUSEWAY BAY,94,152,58,5
15/03/20,18,CAUSEWAY BAY,77,120,72,4
15/03/20,19,CAUSEWAY BAY,72,101,76,4
15/03/20,20,CAUSEWAY BAY,72,106,73,4
15/03/20,21,CAUSEWAY BAY,65,93,81,3
15/03/20,22,CAUSEWAY BAY,72,113,71,3
15/03/20,23,CAUSEWAY BAY,78,127,63,3
15/03/20,24,CAUSEWAY BAY,68,109,66,3
