DATE,HOUR,STATION,NO2,NOX,O3,SO2
05/02/19,1,CAUSEWAY BAY,65,124,33,2
05/02/19,2,CAUSEWAY BAY,49,85,42,1
05/02/19,3,CAUSEWAY BAY,43,74,47,1
05/02/19,4,CAUSEWAY BAY,50,81,46,1
05/02/19,5,CAUSEWAY BAY,27,44,56,1
05/02/19,6,CAUSEWAY BAY,34,51,52,1
05/02/19,7,CAUSEWAY BAY,36,61,46,1
05/02/19,8,CAUSEWAY BAY,36,64,46,1
05/02/19,9,CAUSEWAY BAY,45,105,39,2
05/02/19,10,CAUSEWAY BAY,64,157,27,3
05/02/19,11,CAUSEWAY BAY,53,120,36,3
05/02/19,12,CAUSEWAY BAY,51,98,41,2
05/02/19,13,CAUSEWAY BAY,49,93,43,2
05/02/19,14,CAUSEWAY BAY,59,108,36,2
05/02/19,15,CAUSEWAY BAY,82,181,27,3
05/02/19,16,CAUSEWAY BAY,126,471,6,9
05/02/19,17,CAUSEWAY BAY,91,276,12,6
05/02/19,18,CAUSEWAY BAY,96,229,16,4
05/02/19,19,CAUSEWAY BAY,85,166,26,3
05/02/19,20,CAUSEWAY BAY,93,214,18,4
05/02/19,21,CAUSEWAY BAY,99,339,11,7
05/02/19,22,CAUSEWAY BAY,85,175,17,3
05/02/19,23,CAUSEWAY BAY,85,193,16,3
05/02/19,24,CAUSEWAY BAY,53,77,34,1
06/02/19,1,CAUSEWAY BAY,47,65,37,1
06/02/19,2,CAUSEWAY BAY,50,90,32,2
06/02/19,3,CAUSEWAY BAY,51,90,35,2
06/02/19,4,CAUSEWAY BAY,57,96,29,2
06/02/19,5,CAUSEWAY BAY,61,110,20,2
06/02/19,6,CAUSEWAY BAY,50,81,28,2
06/02/19,7,CAUSEWAY BAY,36,60,41,1
06/02/19,8,CAUSEWAY BAY,60,111,27,2
06/02/19,9,CAUSEWAY BAY,50,89,30,2
06/02/19,10,CAUSEWAY BAY,82,264,10,5
06/02/19,11,CAUSEWAY BAY,104,411,4,8
06/02/19,12,CAUSEWAY BAY,104,396,5,8
06/02/19,13,CAUSEWAY BAY,92,282,11,5
06/02/19,14,CAUSEWAY BAY,118,452,5,9
06/02/19,15,CAUSEWAY BAY,81,226,11,5
06/02/19,16,CAUSEWAY BAY,78,218,14,4
06/02/19,17,CAUSEWAY BAY,74,201,23,4
06/02/19,18,CAUSEWAY BAY,79,176,20,3
06/02/19,19,CAUSEWAY BAY,77,207,20,4
06/02/19,20,CAUSEWAY BAY,54,121,30,3
06/02/19,21,CAUSEWAY BAY,42,81,37,2
06/02/19,22,CAUSEWAY BAY,47,107,30,2
06/02/19,23,CAUSEWAY BAY,49,133,26,3
06/02/19,24,CAUSEWAY BAY,66,180,15,3
